ITU-T A-Series Recommendations: Organization of the work of ITU-T,,
X.1360-X.1369,Internet of things (IoT) security,
X.1370-X.1389,Intelligent transportation system (ITS) security,
X.1400-X.1429,Distributed ledger technology security,
X.1430-X.1449,Distributed ledger technology security,
X.1450-X.1459,Security protocols (2),
X.1500-X.1599,Cybersecurity information exchange,
X.1500-X.1519,Overview of cybersecurity,
X.1520-X.1539,Vulnerability/state exchange,
X.1540-X.1549,Event/incident/heuristics exchange,
X.1550-X.1559,Exchange of policies,
X.1560-X.1569,Heuristics and information request,
X.1570-X.1579,Identification and discovery,
X.1580-X.1589,Assured exchange,
X.1600-X.1699,Cloud computing security,
X.1600-X.1601,Overview of cloud computing security,
X.1602-X.1639,Cloud computing security design,
X.1640-X.1659,Cloud computing security best practices and guidelines,
X.1660-X.1679,Cloud computing security implementation,
X.1680-X.1699,Other cloud computing security,
X supplements,Supplements to ITU-T X-series Recommendations,
,,
,,
"ITU-T Y-Series Recommendations: Global information infrastructure, Internet protocol aspects, next-generation networks, Internet of Things and smart cities",,
Y.100-Y.999,Global information infrastructure,
Y.100-Y.199,General,
Y.200-Y.299,"Services, applications and middleware",
Y.300-Y.399,Network aspects,
Y.400-Y.499,Interfaces and protocols,
Y.500-Y.599,"Numbering, addressing and naming",
Y.600-Y.699,"Operation, administration and maintenance",
Y.700-Y.799,Security,
Y.800-Y.899,Performances,
Y.1000-Y.1999,Internet protocol aspects,
Y.1000-Y.1099,General,
Y.1100-Y.1199,Services and applications,
Y.1200-Y.1299,"Architecture, access, network capabilities and resource management",
Y.1300-Y.1399,Transport,
Y.1400-Y.1499,Interworking,
Y.1500-Y.1599,Quality of service and network performance,
Y.1600-Y.1699,Signalling,
Y.1700-Y.1799,"Operation, administration and maintenance",
Y.1800-Y.1899,Charging,
Y.1900-Y.1999,IPTV over NGN,
Y.2000-Y.2999,Next Generation Networks,
Y.2000-Y.2099,Frameworks and functional architecture models,
Y.2100-Y.2199,Quality of Service and performance,
Y.2200-Y.2249,Service aspects: Service capabilities and service architecture,
Y.2250-Y.2299,Service aspects: Interoperability of services and networks in NGN,
Y.2300-Y.2399,Enhancements to NGN,
Y.2400-Y.2499,Network management,
Y.2500-Y.2599,Network control architectures and protocols,
Y.2600-Y.2699,Packet-based Networks,
Y.2700-Y.2799,Security,
Y.2800-Y.2899,Generalized mobility,
Y.2900-Y.2999,Carrier grade open environment,
Y.3000-Y.3499,Future networks,
Y.3500-Y.3999,Cloud Computing,
Y.4000-Y.4999,Internet of things and smart cities and communities,
Y.4000-Y.4049,General,
Y.4050-Y.4099,Definitions and terminologies,
Y.4100-Y.4249,Requirements and use cases,
Y.4250-Y.4399,"Infrastructure, connectivity and networks",
Y.4400-Y.4549,"Frameworks, architectures and protocols",
Y.4550-Y.4699,"Services, applications, computation and data processing",
Y.4700-Y.4799,"Management, control and performance",
Y.4800-Y.4899,Identification and security,
Y.4900-Y.4999,Evaluation and assessment,
Y supplements,Supplements to the Y-series Recommendations,
Y.2000-Y.3000 supplements,Supplements to the Y-series Recommendations relating to the Next Generation Networks,
Y.4000-Y.5000 supplements,Supplements to the Y-series Recommendations related to IoT and SC&C,
,,
,,
ITU-T Z-Series Recommendations: Languages and general software aspects for telecommunication systems,,
Z.100-Z.199,Formal description techniques (FDT),
Z.100-Z.109,Specification and Description Language (SDL),
Z.110-Z.119,Application of formal description techniques,
Z.120-Z.129,Message Sequence Chart (MSC),
Z.150-Z.159,User Requirements Notation (URN),
Z.160-Z.179,Testing and Test Control Notation (TTCN),
Z.200-Z.299,Programming languages,
Z.200-Z.209,CHILL: The ITU-T high level language,
Z.300-Z.399,Man-machine language,
Z.300-Z.309,General principles,
Z.310-Z.319,Basic syntax and dialogue procedures,
Z.320-Z.329,Extended MML for visual display terminals,
Z.330-Z.349,Specification of the man-machine interface,
Z.350-Z.359,Data-oriented human-machine interfaces,
Z.360-Z.379,Human-machine interfaces for the management of telecommunications networks,
Z.400-Z.499,Quality,
Z.400-Z.409,Quality of telecommunication software,
Z.450-Z.459,Quality aspects of protocol-related Recommendations,
Z.500-Z.599,Methods,
Z.500-Z.519,Methods for validation and testing,
Z.600-Z.699,Middleware,
Z.600-Z.609,Processing environment architectures,
Z supplements,Supplements to the Z-series,
